time,F1_ORIGINAL
7407.72,318.303
7407.82,300.778
7407.92,282.954
7408.02,249.097
7408.12,231.803
7408.22,214.262
7408.32,196.486
7408.42,178.487
7408.52,160.278
7408.62,141.87
7408.72,123.278
7408.82,104.512
7408.92,85.5871
7409.02,54.4027
7409.12,38.6942
7409.22,22.887
7409.32,6.99202
7409.42,0
7409.52,0
7409.62,0
7409.72,0
7409.82,0
7409.92,0
7410.02,0
7410.12,0
7410.22,0
7410.32,0
7410.42,0
7410.52,0
7410.62,0
7410.72,0
7410.82,0
7410.92,0
7411.02,0
7411.12,0
7411.22,0
7411.32,0
7411.42,0
7411.52,0
7411.62,0
7411.72,0
7411.82,0
7411.92,0
7412.02,0
7412.12,0
7412.22,0
7412.32,0
7412.42,0
7412.52,0
7412.62,0
7412.72,0
7412.82,0
7412.92,0
7413.02,0
7413.12,0
7413.22,0
7413.32,0
7413.42,0
7413.52,0
7413.62,0
7413.72,0
7413.82,0
7413.92,0
7414.02,0
7414.12,0
7414.22,0
7414.32,0
7414.42,0
7414.52,0
7414.62,0
7414.72,0
7414.82,0
7414.92,0
7415.02,0
7415.12,0
7415.22,0
7415.32,0
7415.42,0
7415.52,0
7415.62,0
7415.72,0
7415.82,0
7415.92,0
7416.02,0
7416.12,0
7416.22,0
7416.32,0
7416.42,0
7416.52,0
7416.62,0
7416.72,0
7416.82,0
7416.92,0
7417.02,0
7417.12,0
7417.22,0
7417.32,0
7417.42,0
7417.52,0
7417.62,0
7417.72,0
7417.82,0
7417.92,0
7418.02,0
7418.12,0
7418.22,0
7418.32,0
7418.42,0
7418.52,0
7418.62,0
7418.72,0
7418.82,0
7418.92,0
7419.02,0
7419.12,0
7419.22,0
7419.32,0
7419.42,0
7419.52,0
7419.62,0
7419.72,0
7419.82,0
7419.92,0
7420.02,0
7420.12,0
7420.22,0
7420.32,0
7420.42,0
7420.52,0
7420.62,0
7420.72,0
7420.82,0
7420.92,0
7421.02,0
7421.12,0
7421.22,0
7421.32,0
7421.42,0
7421.52,0
7421.62,0
7421.72,0
7421.82,0
7421.92,0
7422.02,0
7422.12,0
7422.22,0
7422.32,0
7422.42,0
7422.52,0
7422.62,0
7422.72,5.66785
7422.82,22.4994
7422.92,39.2371
7423.02,63.5125
